,image,True CLass,Predicted Class
146,60333012743_111819_012322_R,0,0
147,60333012743_111819_012348_L,0,0
148,60333012750_111819_014315_R,0,0
149,60333012750_111819_014345_L,0,0
150,60333012767_111819_025603_R,0,0
151,60333012767_111819_025620_L,0,0
152,60333012774_111819_025834_R,0,0
153,60333012774_111819_025919_L,0,0
154,60333012781_111819_031044_R,0,1
155,60333012781_111819_031109_L,0,1
156,60333012798_111819_031144_R,0,0
157,60333012798_111819_031159_L,0,0
158,60333012804_111819_031410_R,0,0
159,60333012804_111819_031452_L,0,0
160,60333012811_111819_032840_R,0,0
161,60333012811_111819_032859_L,0,0
162,60333012828_111819_032953_R,0,0
163,60333012828_111819_033025_L,0,0
164,60333012835_111819_033128_R,0,1
165,60333012835_111819_033148_L,0,0
166,60333012842_111819_034125_R,0,0
167,60333012842_111819_034140_L,0,0
168,60333012859_111819_034229_R,0,0
169,60333012859_111819_034246_L,0,0
170,60333012866_111819_034325_R,0,0
171,60333012866_111819_034339_L,0,0
172,60333012873_111819_035845_R,0,0
173,60333012873_111819_035900_L,0,0
174,60333012880_111819_035952_R,0,0
175,60333012880_111819_040009_L,0,0
176,60333012897_111819_041044_R,0,0
177,60333012897_111819_041056_L,0,0
178,60333012903_111819_041138_R,0,0
179,60333012903_111819_041200_L,0,0
180,60333012910_111819_042730_R,0,0
181,60333012910_111819_042749_L,0,0
182,60333012927_111819_042852_R,0,0
183,60333012927_111819_042909_L,0,0
184,60333012934_111819_043022_R,0,0
185,60333012934_111819_043036_L,0,0
186,60333012941_111819_043946_R,0,0
187,60333012941_111819_044003_L,0,0
188,60333012958_111819_044103_R,0,0
189,60333012965_111819_045140_R,0,0
190,60333012965_111819_045214_L,0,0
191,60333012972_111819_045324_R,0,0
192,60333012989_111819_050134_R,0,0
193,60333012989_111819_050149_L,0,0
194,60333012996_111819_051204_R,0,0
195,60333012996_111819_051222_L,0,0
196,60333013009_111819_051259_R,0,0
197,60333013009_111819_051319_L,0,0
198,60333013016_111819_054600_R,0,0
199,60333013016_111819_054624_L,0,0
200,60333013023_111819_055530_R,0,0
201,60333013023_111819_055548_L,0,1
202,60333013030_111919_082534_R,0,0
203,60333013030_111919_082629_L,0,1
204,60333013047_111919_084459_R,0,0
205,60333013054_111919_085555_R,0,0
206,60333013054_111919_085613_L,0,0
207,60333013061_111919_091744_R,0,0
208,60333013061_111919_091821_L,0,0
209,60333013078_111919_093553_R,0,0
210,60333013078_111919_093627_L,0,0
211,60333013085_111919_094829_R,0,0
212,60333013085_111919_094841_L,0,0
213,60333013092_111919_095907_R,0,0
214,60333013092_111919_095928_L,0,0
215,60333013108_111919_100000_R,0,0
216,60333013108_111919_100028_L,0,0
217,60333013115_111919_100638_R,0,0
218,60333013115_111919_100654_L,0,0
219,60333013122_111919_100750_R,0,0
220,60333013122_111919_100807_L,0,0
221,60333013139_111919_100850_R,0,0
222,60333013139_111919_100918_L,0,0
223,60333013146_111919_102606_L,0,0
224,60333013146_111919_102942_R,0,0
225,60333013153_111919_104958_R,0,0
226,60333013153_111919_105025_L,0,0
227,60333013160_111919_105308_R,0,0
228,60333013160_111919_105326_L,0,0
229,60333013177_111919_105417_R,0,0
230,60333013177_111919_105438_L,0,0
231,60333013184_111919_105515_R,0,0
232,60333013184_111919_105534_L,0,0
233,60333013191_111919_125448_R,0,0
234,60333013191_111919_125505_L,0,0
235,60333013207_111919_125604_R,0,0
236,60333013214_111919_011057_R,0,0
237,60333013214_111919_011121_L,0,0
238,60333013221_111919_011233_R,0,0
239,60333013221_111919_011249_L,0,0
240,60333013238_111919_011444_R,0,0
241,60333013238_111919_011505_L,0,0
242,60333013245_111919_012131_R,0,0
243,60333013245_111919_012156_L,0,0
244,60333013245_111919_015239_R,0,0
245,60333013245_111919_015305_L,0,0
246,60333013252_111919_022032_L,0,0
247,60333013269_111919_023106_R,0,0
248,60333013269_111919_023128_L,0,0
249,60333013276_111919_024024_R,0,0
250,60333013276_111919_024046_L,0,0
251,60333013283_111919_024517_R,0,0
252,60333013283_111919_024530_L,0,0
253,60333013290_111919_025432_R,0,0
254,60333013290_111919_025455_L,0,0
255,60333013306_111919_025538_R,0,0
256,60333013306_111919_025553_L,0,0
257,60333013313_111919_030419_R,0,0
258,60333013313_111919_030436_L,0,0
259,60333013320_111919_031235_R,0,0
260,60333013320_111919_031247_L,0,0
261,60333013337_111919_032419_R,0,0
262,60333013337_111919_032436_L,0,0
263,60333013344_111919_033622_R,0,0
264,60333013344_111919_033639_L,0,0
265,60333013351_111919_034343_R,0,0
266,60333013351_111919_034413_L,0,0
267,60333013368_111919_034522_R,0,0
268,60333013368_111919_034545_L,0,0
269,60333013375_111919_034721_R,0,0
270,60333013375_111919_034738_L,0,0
271,60333013382_111919_035427_R,0,0
272,60333013382_111919_035443_L,0,0
273,60333013399_111919_035806_R,0,0
274,60333013399_111919_035842_L,0,0
275,60333013405_111919_035936_R,0,0
276,60333013405_111919_035950_L,0,0
277,60333013412_111919_042013_L,0,0
278,60333013429_111919_045626_R,0,0
279,60333013429_111919_045734_L,0,0
280,60333013436_111919_050938_R,0,0
281,60333013436_111919_050951_L,0,0
282,60333013443_111919_051056_R,0,0
283,60333013443_111919_051127_L,0,0
284,60333013450_111919_052622_R,0,0
285,60333013450_111919_052644_L,0,0
286,60333013467_111919_052752_R,0,0
287,60333013467_111919_052815_L,0,0
288,60333013474_111919_053124_R,0,0
289,60333013474_111919_053138_L,0,0
290,60333013481_111919_055751_L,0,0
291,60333013498_111919_061743_R,0,0
292,60333013498_111919_061817_L,0,0
293,60333013504_123117_072448_R,0,0
294,60333013504_123117_072504_L,0,0
295,60333013511_123117_072635_R,0,0
296,60333013511_123117_072649_L,0,0
297,60333013528_123117_072719_R,0,0
298,60333013528_123117_072737_L,0,0
299,60333013535_123117_074923_R,0,1
300,60333013535_123117_075039_L,0,0
301,60333013542_123117_075138_R,0,0
302,60333013542_123117_075151_L,0,0
303,60333013559_123117_080350_R,0,0
304,60333013559_123117_080407_L,0,0
305,60333013566_123117_080440_R,0,0
306,60333013566_123117_080455_L,0,0
307,60333013580_123117_081137_R,0,1
308,60333013580_123117_081152_L,0,0
309,60333013597_123117_082832_R,0,0
310,60333013597_123117_082855_L,0,0
311,60333013603_123117_083823_R,0,0
312,60333013603_123117_083915_L,0,0
313,60333013610_123117_084808_L,0,1
314,60333013627_123117_084919_R,0,0
315,60333013627_123117_084933_L,0,0
316,60333013634_123117_085140_R,0,0
317,60333013641_123117_090041_R,0,0
318,60333013641_123117_090056_L,0,0
319,60333013658_123117_090150_R,0,0
320,60333013658_123117_090204_L,0,0
321,60333013665_123117_090912_R,0,0
322,60333013665_123117_090929_L,0,0
323,60333013672_123117_091258_R,0,0
324,60333013689_123117_092138_R,0,0
325,60333013689_123117_092155_L,0,0
326,60333013696_123117_093103_R,0,0
327,60333013696_123117_093120_L,0,0
328,60333013702_123117_093204_R,0,0
329,60333013702_123117_093234_L,0,0
330,60333013719_123117_094310_R,0,1
331,60333013719_123117_094341_L,0,0
332,60333013726_123117_094431_R,0,0
333,60333013726_123117_094449_L,0,0
334,60333013733_123117_100155_L,0,0
335,60333013740_123117_101307_R,0,0
336,60333013740_123117_101320_L,0,0
337,60333013764_123117_102537_R,0,0
338,60333013764_123117_102648_L,0,0
339,60333013771_123117_103547_R,0,0
340,60333013771_123117_103600_L,0,0
341,60333013795_123117_104731_R,0,0
342,60333013795_123117_104750_L,0,0
343,60333013801_123117_110057_R,0,1
344,60333013801_123117_110118_L,0,0
345,60333013818_123117_110726_R,0,0
346,60333013818_123117_110742_L,0,0
347,60333013825_123117_112136_L,0,0
348,60333013832_123117_114217_R,0,0
349,60333013832_123117_114238_L,0,0
350,60333013849_123117_114712_R,0,0
351,60333013849_123117_114733_L,0,0
352,60333013856_123117_114804_R,0,0
353,60333013856_123117_114815_L,0,0
354,60333013863_123117_114905_R,0,0
355,60333013870_123117_115603_R,0,0
356,60333013870_123117_115619_L,0,0
357,60333013887_123117_115848_R,0,0
358,60333013887_123117_115915_L,0,0
359,60333013894_010118_121033_R,0,0
360,60333013894_010118_121045_L,0,1
361,60333013917_010118_121309_R,0,0
362,60333013917_010118_121324_L,0,0
363,60333013924_010118_123049_R,0,0
364,60333013924_010118_123112_L,0,0
365,60333013931_010118_124139_R,0,0
366,60333013948_010118_125412_R,0,1
367,60333013948_010118_125423_L,0,1
368,60333013955_010118_125459_R,0,0
369,60333013955_010118_125522_L,0,0
370,60333013962_010118_125658_L,0,1
371,60333013979_010118_010357_R,0,0
372,60333013979_010118_010421_L,0,0
373,60333013986_010118_011358_R,0,0
374,60333013986_010118_011440_L,0,0
375,60333014037_010118_070140_R,0,0
376,60333014037_010118_070156_L,0,0
377,60333014044_010118_071556_R,0,0
378,60333014044_010118_071650_L,0,0
379,60333014051_010118_073151_R,0,0
380,60333014051_010118_073227_L,0,0
381,60333014068_010118_074930_R,0,0
382,60333014068_010118_074957_L,0,0
383,60333014068_010118_083116_R,0,0
384,60333014068_010118_083157_R,0,0
385,60333014075_010118_075054_R,0,0
386,60333014099_010118_083409_R,0,0
387,60333014099_010118_083424_L,0,0
388,60333014105_010118_090556_R,0,0
389,60333014105_010118_090615_L,0,0
390,60333014112_010118_092110_R,0,0
391,60333014112_010118_092130_L,0,0
392,60333014129_010118_092231_R,0,0
393,60333014129_010118_092250_L,0,0
394,60333014136_010118_092445_R,0,0
395,60333014136_010118_092458_L,0,0
396,60333014143_010118_093525_R,0,0
397,60333014143_010118_093557_L,0,0
398,60333014150_010118_093646_R,0,1
399,60333014150_010118_093708_L,0,0
400,60333014167_010118_101233_R,0,0
401,60333014167_010118_101300_L,0,0
402,60333014174_010118_104909_R,0,0
403,60333014174_010118_104955_L,0,0
404,60333014181_010118_111230_R,0,0
405,60333014181_010118_111243_L,0,0
406,60333014198_010118_112925_R,0,0
407,60333014198_010118_113001_L,0,0
408,60333014204_010118_113038_R,0,0
409,60333014204_010118_113050_L,0,0
410,60333014211_010118_114231_R,0,0
411,60333014211_010118_114334_L,0,0
412,60333014228_010118_114546_R,0,0
413,60333014228_010118_114621_L,0,0
414,60333014235_010118_114936_R,0,0
415,60333014235_010118_114955_L,0,0
416,60333014242_010118_115040_R,0,0
417,60333014242_010118_115101_L,0,0
418,60333014259_010218_120346_R,0,0
419,60333014259_010218_120400_L,0,0
420,60333014266_010218_120501_R,0,0
421,60333014266_010218_120519_L,0,0
422,60333014273_010218_120603_R,0,0
423,60333014273_010218_120628_L,0,0
424,60333014280_010218_121607_R,0,0
425,60333014280_010218_121619_L,0,0
426,60333014297_010218_121703_R,0,0
427,60333014297_010218_121728_L,0,0
428,60333014303_010218_121956_R,0,1
429,60333014303_010218_122011_L,0,0
430,60333014310_010218_122950_R,0,0
431,60333014310_010218_123005_L,0,0
432,60333014327_010218_123620_R,0,0
433,60333014327_010218_123634_L,0,0
434,60333014334_010218_123752_R,0,0
435,60333014334_010218_123804_L,0,0
436,60333014341_010218_123845_R,0,0
437,60333014341_010218_123916_L,0,0
438,60333014358_010218_123955_R,0,0
439,60333014358_010218_124009_L,0,0
440,60333014365_010218_125300_R,0,0
441,60333014365_010218_125319_L,0,0
442,60333014372_010218_125353_R,0,0
443,60333014372_010218_125415_L,0,0
444,60333014389_010218_010211_R,0,0
445,60333014389_010218_010240_L,0,0
446,60333014396_010218_010354_R,0,0
447,60333014396_010218_010417_L,0,0
448,60333014402_010218_010549_R,0,0
449,60333014402_010218_010620_L,0,0
450,60333014419_010218_011924_R,0,0
451,60333014419_010218_011937_L,0,0
452,60333014426_010218_012800_L,0,0
453,60333014433_010218_014310_R,0,0
454,60333014433_010218_014325_L,0,0
455,60333014440_010218_015244_R,0,0
456,60333014440_010218_015304_L,0,0
457,60333014457_010218_021712_R,0,0
458,60333014457_010218_021725_L,0,0
459,60333014464_010218_021807_R,0,0
460,60333014464_010218_021819_L,0,0
